"Full Name of the Session Holder of the Session","Day of Week","Session's Session Start","Session's Session End","Appointment Date","Appointment Time","Slot Type","Slot Duration","Availability","DNA","Booked Time to Slot Time","Arrive Time to Send In Time","Slot Time to Send In Time","Slot Time to Arrive Time","Consultation Time","",
"","","24-Sep-2025","24-Sep-2025","24-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","3",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","23",
"","","","","","","","","Booked","Attended","494","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","495","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","792","Unknown","Unknown","Unknown","Unknown","1",
"","","01-Oct-2025","01-Oct-2025","01-Oct-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","3",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","6184","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","9305","Unknown","Unknown","Unknown","Unknown","1",
"","","08-Oct-2025","08-Oct-2025","08-Oct-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","476","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","706","Unknown","Unknown","Unknown","Unknown","1",
"","","15-Oct-2025","15-Oct-2025","15-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","22-Oct-2025","22-Oct-2025","22-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","29-Oct-2025","29-Oct-2025","29-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","05-Nov-2025","05-Nov-2025","05-Nov-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","Thu","11-Sep-2025","11-Sep-2025","11-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","25",
"","","","","","","","","Booked","Attended","-632","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:30","Ongoing appointment slot","90","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","18-Sep-2025","18-Sep-2025","18-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","-522","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","440","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:30","Ongoing appointment slot","90","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","25-Sep-2025","25-Sep-2025","25-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","3",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","446","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","29308","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:30","Ongoing appointment slot","90","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","02-Oct-2025","02-Oct-2025","02-Oct-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","350","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","828","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:30","Ongoing appointment slot","90","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","09-Oct-2025","09-Oct-2025","09-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","","","","08:30","Ongoing appointment slot","90","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","16-Oct-2025","16-Oct-2025","16-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","","","","08:30","Ongoing appointment slot","90","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","23-Oct-2025","23-Oct-2025","23-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","","","","08:30","Ongoing appointment slot","90","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","30-Oct-2025","30-Oct-2025","30-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","","","","08:30","Ongoing appointment slot","90","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","06-Nov-2025","06-Nov-2025","06-Nov-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","","","","08:30","Ongoing appointment slot","90","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","17",
"","","","","","","Recent Significant Events","90","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comments and Complaints","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Default","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","47",
"","","","","","","Recent Significant Events","60","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","Fri","12-Sep-2025","12-Sep-2025","12-Sep-2025","00:00","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","19-Sep-2025","19-Sep-2025","19-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","24",
"","","","","","","","","Booked","Attended","3602","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","11949","Unknown","Unknown","Unknown","Unknown","1",
"","","26-Sep-2025","26-Sep-2025","26-Sep-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","25",
"","","","","","","","","Booked","Attended","941","Unknown","Unknown","Unknown","Unknown","1",
"","","03-Oct-2025","03-Oct-2025","03-Oct-2025","00:00","Comment","1439","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","3",
"","","","","","","Home Visit","1439","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","22",
"","","","","","","","","Booked","Attended","613","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","625","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","2020","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","","","","","3447","Unknown","Unknown","Unknown","Unknown","1",
"","","10-Oct-2025","10-Oct-2025","10-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","17-Oct-2025","17-Oct-2025","17-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","24-Oct-2025","24-Oct-2025","24-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","31-Oct-2025","31-Oct-2025","31-Oct-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","","07-Nov-2025","07-Nov-2025","07-Nov-2025","00:00","Home Visit","1439","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","26",
"","Sat","","","","","","","","","","","","","","0",
"","Sun","","","","","","","","","","","","","","0",
"AGUKWENDU, Reginald (Dr)","Mon","08-Sep-2025","08-Sep-2025","08-Sep-2025","09:00","Book on the Day","20","Booked","Attended","12","11","0","-11","21","1",
"","","","","","09:20","Book on the Day","20","Booked","Attended","29","0","7","6","13","1",
"","","","","","09:40","Book on the Day","20","Booked","Attended","45","3","2","0","26","1",
"","","","","","10:00","catch up time","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:20","Book on the Day","20","Booked","Attended","95","15","2","-12","11","1",
"","","","","","10:40","Book on the Day","20","Booked","Attended","92","3","3","0","19","1",
"","","","","","11:00","Book on the Day","20","Booked","Attended","108","11","4","-7","15","1",
"","","","","","11:20","Admin","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:40","Clinical Review","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Reception Task Appointment","20","Booked","Attended","2","7","5","-2","13","1",
"","","","","","14:20","Reception Task Appointment","20","Booked","Attended","14545","9","4","-4","1","1",
"","","","","","14:40","Telephone Appointment Slot","20","Booked","Attended","9953","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","catch up time","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:20","Book on the Day","20","Booked","Attended","434","3","2","0","18","1",
"","","","","","15:40","Reception Task Appointment","20","Booked","Did Not Attend","7139","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:00","Reception Task Appointment","20","Booked","Attended","6075","2","-11","-14","11","1",
"","","","","","16:20","Admin","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:40","Clinical Review","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","15-Sep-2025","15-Sep-2025","15-Sep-2025","09:00","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","Reception Task Appointment","30","Booked","Attended","72","6","4","-2","28","1",
"","","","","","11:00","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","Book on the Day","30","Booked","Attended","125","10","-8","-19","23","1",
"","","","","","14:00","Appointment Within 1 Week","20","Booked","Attended","4588","1","6","4","3","1",
"","","","","","","Comment","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:20","Book on the Day","20","Booked","Attended","373","13","7","-5","18","1",
"","","","","","14:40","Reception Task Appointment","20","Booked","Attended","10471","17","7","-9","1","1",
"","","","","","15:00","catch up time","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:20","Book on the Day","20","Booked","Attended","329","30","7","-22","21","1",
"","","","","","15:40","Book on the Day","20","Booked","Attended","11","23","15","-65","15","1",
"","","","","","","","","","","","","","-8","15","1",
"","","","","","16:00","Book on the Day","20","Booked","Attended","363","12","10","-2","27","1",
"","","","","","16:20","Admin","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:40","Clinical Review","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","22-Sep-2025","22-Sep-2025","22-Sep-2025","09:00","EDUCATION","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:20","Comment","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","EDUCATION","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:40","EDUCATION","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","catch up time","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:20","Telephone Appointment Slot","20","Booked","Attended","8659","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:40","Reception Task Appointment","20","Booked","Attended","8631","9","2","-6","12","1",
"","","","","","11:00","Telephone Appointment Slot","20","Booked","Attended","10111","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:20","Admin","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:40","Clinical Review","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Book on the Day","20","Booked","Attended","356","4","0","-5","20","1",
"","","","","","14:20","Book on the Day","20","Booked","Attended","375","16","2","-13","24","1",
"","","","","","14:40","Reception Task Appointment","20","Booked","Attended","7116","20","8","-11","23","1",
"","","","","","15:00","catch up time","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:20","Book on the Day","20","Booked","Attended","433","17","2","-14","6","1",
"","","","","","15:40","Book on the Day","20","Booked","Attended","449","7","1","-6","17","1",
"","","","","","","Comment","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:00","Book on the Day","20","Booked","Attended","461","11","0","-10","18","1",
"","","","","","16:20","Admin","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:40","Clinical Review","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Comment","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","06-Oct-2025","06-Oct-2025","06-Oct-2025","09:00","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:00","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","EDUCATION","30","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Book on the Day","20","Booked","Attended","271","8","1","-6","13","1",
"","","","","","14:20","Book on the Day","20","Booked","Attended","287","8","0","-8","39","1",
"","","","","","14:40","Telephone Appointment Slot","20","Booked","Attended","5706","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","catch up time","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:20","Telephone Appointment Slot","20","Booked","Attended","7060","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:40","Reception Task Appointment","20","Booked","Attended","7614","20","7","-12","13","1",
"","","","","","16:00","Reception Task Appointment","20","Booked","Attended","14506","25","4","-20","22","1",
"","","","","","16:20","Admin","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:40","Clinical Review","20","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","20-Oct-2025","20-Oct-2025","20-Oct-2025","09:00","EDUCATION","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","EDUCATION","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","EDUCATION","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","EDUCATION","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:00","EDUCATION","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","EDUCATION","30","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Book on the Day","20","Embargoed","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:20","Book on the Day","20","Embargoed","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:40","Book on the Day","20","Embargoed","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","catch up time","20","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:20","Reception Task Appointment","20","Booked","2","17628","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:40","Reception Task Appointment","20","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:00","Reception Task Appointment","20","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:20","Admin","20","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:40","Clinical Review","20","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
